Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Jarell Quansah,21.0,Liverpool,eng Premier League,DF,Finisher,495,0,0,0,0.1,0.1,19,0.3076923076923077
Leopold Querfeld,20.0,Union Berlin,de Bundesliga,DF,Playmaker,1747,2,2,4,1.1,1.0,49,0.6296296296296297
Arnau Rafús,21.0,Valladolid,es La Liga,GK,Finisher,90,0,0,0,0.0,0.0,0,1.0
Antonio Raimondo,20.0,Venezia,it Serie A,"FW,DF",Finisher,94,0,0,0,0.3,0.1,2,0.0
Jacobo Ramón,19.0,Real Madrid,es La Liga,DF,Finisher,204,1,0,1,0.2,0.2,1,0.6666666666666666
Grant Ranos,21.0,Gladbach,de Bundesliga,FW,Finisher,20,0,0,0,0.0,0.0,1,0.0
Remy Rees-Dottin,18.0,Bournemouth,eng Premier League,FW,Finisher,1,0,0,0,0.0,0.0,0,0.0
Vitor Reis,18.0,Manchester City,eng Premier League,DF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Devyne Rensch,21.0,Roma,it Serie A,DF,Finisher,469,0,1,1,0.3,0.8,14,0.35714285714285715
Daniel Requena,20.0,Villarreal,es La Liga,MF,Finisher,10,0,0,0,0.0,0.0,0,0.0
Guillaume Restes,19.0,Toulouse,fr Ligue 1,GK,Finisher,2543,0,1,1,0.0,0.1,0,1.0
Gio Reyna,21.0,Dortmund,de Bundesliga,MF,Finisher,350,2,0,2,0.2,0.2,22,0.1875
Chadi Riad,21.0,Crystal Palace,eng Premier League,DF,Finisher,90,0,0,0,0.0,0.0,7,1.0
Alberto Risco,18.0,Getafe,es La Liga,"MF,FW",Finisher,69,0,0,0,0.2,0.1,3,0.0
Gorka Rivera Alonso,19.0,Getafe,es La Liga,"DF,MF",Finisher,20,0,0,0,0.0,0.0,1,0.0
Jay Robinson,17.0,Southampton,eng Premier League,"MF,FW",Finisher,137,0,0,0,0.0,0.7,1,0.25
Alejandro Rodriguez,16.0,Lyon,fr Ligue 1,MF,Finisher,20,0,0,0,0.0,0.0,0,0.0
Álvaro Rodríguez,20.0,Getafe,es La Liga,FW,Playmaker,852,2,0,2,1.2,0.3,13,0.3181818181818182
Arturo Rodríguez,17.0,Las Palmas,es La Liga,FW,Finisher,21,0,0,0,0.0,0.0,0,0.0
Damián Rodríguez,21.0,Celta Vigo,es La Liga,MF,Finisher,927,0,0,0,0.1,0.8,71,0.5882352941176471
Daniel Rodriguez,18.0,Barcelona,es La Liga,FW,Finisher,37,0,0,0,0.0,0.0,2,1.0
Javi Rodríguez,21.0,Celta Vigo,es La Liga,DF,Playmaker,2514,3,2,5,2.3,1.0,114,0.7222222222222222
Jesus Rodríguez,18.0,Betis,es La Liga,FW,Finisher,1111,2,0,2,2.3,0.2,35,0.7142857142857143
Luka Romero,19.0,Alavés,es La Liga,"FW,MF",Finisher,199,0,0,0,0.8,0.2,0,0.3333333333333333
Vitor Roque,19.0,Betis,es La Liga,FW,Playmaker,1235,4,0,4,6.1,1.2,17,0.6363636363636364
Max Rosenfelder,21.0,Freiburg,de Bundesliga,DF,Finisher,1249,1,0,1,0.4,0.7,29,0.52
Tom Rothe,19.0,Union Berlin,de Bundesliga,"DF,MF",Playmaker,1670,3,3,6,1.8,1.3,50,0.7307692307692307
Jonas Rouhi,20.0,Juventus,it Serie A,DF,Finisher,210,0,0,0,0.0,0.0,9,0.2
Jon Rowe,21.0,Marseille,fr Ligue 1,"FW,MF",Playmaker,807,3,3,6,3.5,4.5,31,0.21428571428571427
Tommaso Rubino,17.0,Fiorentina,it Serie A,MF,Finisher,8,0,0,0,0.0,0.0,1,0.0
Ferrán Ruiz,21.0,Girona,es La Liga,MF,Finisher,18,0,0,0,0.0,0.0,1,0.0
